payout_id,amount,fee,gross_amount,date,reference_number
setl_001,4850.00,150.00,5000.00,2024-07-01,UTR2024070100001
setl_002,9700.00,300.00,10000.00,2024-07-02,UTR2024070200002
setl_003,2425.00,75.00,2500.00,2024-07-03,UTR2024070300003
setl_004,14550.00,450.00,15000.00,2024-07-04,UTR2024070400004
setl_005,1940.00,60.00,2000.00,2024-07-05,UTR2024070500005
setl_006,7760.00,240.00,8000.00,2024-07-06,UTR2024070600006
setl_007,4850.00,150.00,5000.00,2024-07-08,UTR2024070800007
setl_008,3880.00,120.00,4000.00,2024-07-09,UTR2024070900008
setl_009,9400.00,600.00,10000.00,2024-07-10,UTR2024071000009
setl_010,1455.00,45.00,1500.00,2024-07-11,UTR2024071100010
setl_011,15000.00,300.00,15300.00,2024-07-12,UTR2024071200011
setl_012,24500.00,500.00,25000.00,2024-07-13,UTR2024071300099
